skillDevelopment,location,reviewText,overallScore,workSatisfaction,jobFunction,companyCulture,postedon,pros,careerGrowth,salaryBenefits,company,cons,workLifeBalance,jobSecurity
5,Bangalore,great,5,5,Technology Analyst,5,4-May-19,good,5,5,Infosys,nothing,5,5
4,,,5,4,Project Manager for 2.5 years in Pune,5,20-Mar-19,Infosys is one of the best employee company,3,4,Infosys,Nothing for now,4,5
4,,exciting,4,4,Senior Process Executive for 3.1 years in Hyderabad,4,8-Mar-19,Work Environment,4,4,Infosys,Nothing,4,4
4,Chennai,,4,4,Automation Test Engineer,4,18-Feb-19,Good learning experience,4,4,Infosys,None,4,4
4,Coimbatore,Exciting and Hectic in times,4,4,Dev Lead,4,30-Nov-18,Culture,4,3,Infosys,Work life balance,3,4
5,,,3,2,Process Executive,5,5-Dec-19,,2,1,Infosys,,2,5
4,Bangalore,,4,4,Information Technology Analyst,5,7-May-19,Good place to work,4,4,Infosys,Not much hikes,4,4
3,Hyderabad,Boring there is no excitement at my work .,3,1,Senior Associate Consultant,3,4-May-18,Teammates are good at Infosys.Transportation is also very good.,1,3,Infosys,Work life balance is worst at Infosys. Career growth is not as expected. One cannot differentiate politics and Infosys seperately. If one word is spelled It follows the other.,2,3
5,,,5,5,Senior Assistant Accountant for 2.6 years in Pune,5,25-Jul-21,Good work environment,5,5,Infosys,Work timings: ,5,5
5,,Fantastic,5,5,Process Trainer for 6 year in Bangalore,5,21-Mar-21,Except salary everything was fantastic with my Infosys,5,1,Infosys,Salary,5,5
3,Hyderabad,,4,4,Technology Support Specialist,5,12-Mar-19,Work email,4,3,Infosys,Training,5,5
5,,,4,5,Technology Support Specialist for 5.5 years in Bangalore,4,30-Oct-18,Salary is less but overall it's good.,3,3,Infosys,Management behaviour with different resources based on region and relegion.,4,5
3,Chennai,Work is average,2,3,Senior System Engineer,5,23-Dec-18,"Excellent training in each domain area ,. Work life balance is much better than other company",1,1,Infosys,"No salary hikes or Bonus , lot of politics undeserved people gets everything by backstabbing others",5,5
5,,,5,5,,5,25-Sep-19,Good company,5,5,Infosys,Work days:,5,5
4,Pune,,5,5,Corporate Logistics Warehousing-pune,5,23-Jul-19,,5,4,Infosys,,5,5
5,Hyderabad,Work is complex but is manageable because of the inputs it gives,5,5,Test Engineer,5,9-Feb-19,"Team , infrastructure, work culture, facilities & flexible timelines",5,3,Infosys,Hikes & Benefits for fresher's,5,5
3,Hyderabad,,3,5,Etl Test Engineer,5,11-Jan-19,Job security and culture is best.,3,3,Infosys,The projects dont provide steep learning curve .,5,5
5,,,5,5,Assistant Accountant for 3.1 years in Bengaluru,5,29-Aug-18,You have more scope to learn and company provides more opportunities to learn through internal course by providing certificates.,3,2,Infosys,Salary is very les when for tenured employee.Freshers get good salary.,3,5
4,Pune,Very good,4,4,Sap Fico Consultant,4,27-Oct-18,Working culture IS Good and flexible timings. Job security is there.,4,3,Infosys,Salary and promotions,4,5
1,Bangalore,,1,1,Systems Engineer - Data Analyst,1,2-Jul-19,Nothing,1,1,Infosys,Everything,1,1
4,Pune,,4,5,Senior Software Engineer,5,25-Dec-18,Good for learning and perfect work life balance,4,4,Infosys,Low salary,5,5
5,,,5,5,Test Analyst for 1.7 years in Bangalore,5,21-Jun-19,,5,5,Infosys,,5,5
4,Bangalore,,4,3,Us Mortgage Loan Processing,2,11-Dec-18,Infosys is a learning center. I had planned to build my career there. But unfortunately because of the delay in growth I had to quit the company,3,3,Infosys,"Appraisal, hike, promotion, politics",3,5
2,Pune,Boring,2,1,Associate Consultant,3,20-Dec-18,Campus is good.,2,3,Infosys,i didnot like anything other than campus,3,4
3,,Hectic,3,1,Senior Associate Consultant for 7.1 years in Chandigarh,3,29-Nov-18,Good ambience,2,1,Infosys,No promotions hike etc,3,1
4,Mangalore,,3,2,Technology Lead,1,1-Nov-18,Infrastructure facilities are good.,2,2,Infosys,Work culture is extremely bad. And charging for vehicle parking is pathetic.,3,2
3,Pune,,4,3,Senior Process Executive,4,30-Oct-18,"The company is open to innovation and readily adopts latest technology. I love the fact that I was a part of team that markets reliable, high quality products and has global client base. As an LPO is a small segment of Infosys it has to develope more. I also like the employee re-hire policy here.",4,3,Infosys,"Compensation is decent, but growth is slow. Sometimes work pressure is very high. I had work for 10-12 hrs straight in a day. Manager do not value an individual's unique strengths, it affects on your appraisal. there is no on job proper training for Freshers.",4,5
4,Chennai,no onsite,3,3,Technology Analyst,4,2-Aug-18,"technology trends usage, work life balance, training",3,3,Infosys,"salary hike, variable pay, promotions, onsite opportunities",5,5
3,,Boring,4,3,System Engineer for 2 years in Pune,3,5-Mar-19,Everything,4,4,Infosys,Timing,3,5
4,Hyderabad,Good,5,4,Technology Analyst,5,7-Dec-18,More career growth and opportunity,3,3,Infosys,Compensation and hikes,4,5
4,Hyderabad,i work on different platforms,5,3,Senior System Engineer,5,4-Dec-18,"the culture is awesome, and i bet no other company can take such a good care of its employees",4,4,Infosys,"the projects i worked on were not helping, you should be lucky enough to get good projects",5,5
4,Hyderabad,No comments,1,1,Senior Process Executive,4,22-Apr-18,"The company is open to innovation ,I am glad to be part of Infosys.",3,2,Infosys,"The management disappointed me terribly. They won't give opportunities to the deserving people instead they give it to their favorite persons. Full of politics, full of grudges.",1,4
5,Bangalore,,4,3,Senior Technical Support Engineer,5,12-Apr-19,For growth need to wait for long,3,4,Infosys,Work days:,5,5
3,Pune,,2,3,Technology Support Specialist,3,11-Mar-19,Pay less deductions more,2,1,Infosys,Pay,3,4
5,Pune,,5,5,Accountant,5,30-Nov-18,Good work environment and work life balance,5,5,Infosys,Salary apprasial,5,5
4,Gurgaon,Hectic,3,1,Process Specialist - Risk And Compliance,1,29-Oct-18,Work life balance,1,1,Infosys,Limited clients so are opportunities.,3,5
1,,Boring,1,1,Account Assistant for 2 years in Pune,1,10-Oct-18,Nothing,1,1,Infosys,"Salary , cheap politics, no increment",2,2
5,,,4,3,Senior Process Executive for 2.7 years in E City,5,30-Oct-19,,3,1,Infosys,,2,5
3,,"Worked in Accounts Receivables, dealt mainly with customers with credit balances on their account",3,3,Subject Matter Expert for 5 months in Pune,2,24-Oct-19,"Managers are fantastic, atleast the ones I worked with. Overall being Infosys, it is worth working for.",3,3,Infosys,Work culture is okay type. Has one of the worst leave policies. Infosys deducts money from your salary with illogical reasons.,3,3
4,,,2,2,Senior Accountant for 2 years in Pune,4,1-Oct-19,,3,3,Infosys,,2,3
5,,,5,5,Process Specialist for 4.5 years in Bengaluru,5,29-Sep-19,,5,3,Infosys,,5,5
3,Pune,Learning experience was very good and team mates are also very helpful.,3,2,Senior Process Executive,3,28-Sep-18,"Training was not good ,salary is also very less .Else every thing was very good",3,3,Infosys,"Less salary,work environment",3,3
3,,,3,2,Senior Consultant for 3.8 years in Hyderabad,4,28-Aug-18,Beautiful campus with lots of greenery and fresh air. Adequate opportunities to learn with many challenging projects.,3,2,Infosys,No salary hikes. Abnormal performance expectations in many projects making u work for more than the stipulated hours. Talent is not monetarily rewarded despite great performance. Rating is arbitrary and mostly based on relationship with the manager rather than performance.,2,4
5,,,5,5,Senior Process Executive,5,13-Dec-19,,5,3,Infosys,,5,5
3,Pune,,3,4,Sub Accountant,3,12-Mar-19,Because this company can be make me a perfect in competition,4,3,Infosys,No answers sorry,4,3
4,,Yes it's a great experience,4,3,Senior Analyst for 5 months in Bangalore,4,24-Dec-18,They provided security for employees I liked it so much,4,5,Infosys,They didn't provide food facility for employees,3,5
2,,Hectic and boring,3,1,Technology Lead for 1.8 years in Bangalore,3,8-Nov-18,Nothing,1,1,Infosys,Approval and appraisal not transparent,1,2
4,Bangalore,"Health insurance for parents, trainings on new technologies",4,3,Technology Support Associate,4,16-Mar-19,good,3,3,Infosys,Salary,4,5
5,Bangalore,,5,5,Technology Analyst,5,28-Feb-19,This is really a good platform to work with,5,5,Infosys,Here nothing to dislike about the Company,5,5
5,,Excellent,5,5,Senior Process Executive for 2.9 years in Bangalore,5,12-Feb-19,Everything is going good,5,5,Infosys,Everything is good,5,5
2,PUNE,Boring,4,3,Senior Consultant,4,24-Dec-18,Job Security,2,2,Infosys,Carrier Growth,2,5
2,Bhubaneswar,,1,1,"Automation Testing . Selenium, ETL Testing, Stibo PIM, Big Data, Project RFP",1,9-Jan-19,Don't like anything,2,1,Infosys,"Fooding, transport and all other facilities are very very bad",1,3
2,Bangalore,Boring,2,1,"Onsite Program Manager - IT Infrastructure (Cloud, Data Center, SAP Basis & EUC )",1,14-Dec-18,Work Life Balance,1,1,Infosys,Management,4,1
5,,Not that much hectic. The work load is normal.,5,5,Technology Analyst for 1.5 years in Hyderabad,5,5-Sep-18,Expect hike in salary,5,5,Infosys,As for as my team is very good in understanding and cooperative. I got a good project with good manager as well.,5,5
5,Bangalore,,4,4,Project Manager,4,17-Aug-18,Job security And different technical trainings to learn and grow,4,3,Infosys,Compensation benefits can be improved and 9.25 hours average is a major drawback for folks staying far off.,3,5
3,Bhubaneswar,Hectic yet exciting,4,3,Test Engineer,3,6-Aug-18,Working as a team and training which infosys provides internally is exceptionally good.,4,3,Infosys,"Payment structure and time boundation where one needs to maintain 9,25 hrs per day",3,3
5,,"It provides food and transport at nominal price. Apart from these, it provides all indoor and outdoor games.",5,5,Associate Consultant for 7.2 years in Pune,5,27-Jul-19,"Infosys training is first class. Infrastructure is awesome and it provides all amenities in the campus like gym, swimming, bowling,all indoor and outdoor games and also Infosys celebrats each festival in the campus for their employees and organize cultural , awards events frequently. The all other things like project , teammates, compensation hike, politics depends on your skill, unit and your luck of which type of project, manager you will be aligned or get.",4,4,Infosys,"It should have policy of face to face discussion about performance with manger or leads in every 2 months instead of once in a year. Also Infosys should buy many new laptops, there is always a shortage of laptops.",5,5
3,,,4,4,Test Engineer for 3 year in Pune,5,21-Apr-21,"The facilities and work culture, perks, parties are hard to miss. The campus is a treat to the eyes.",3,2,Infosys,No growth. Politics is prevalent. You would feel like you are stuck in life. It is good for laterals but not good for freshers.,4,5
5,Trivandrum,,5,5,Test Engineer,5,13-Jun-19,,5,5,Infosys,,5,5
4,Bangalore,,4,3,Associate Finanace,4,7-Nov-18,Good work culture and work life balance.,3,4,Infosys,Growth compensation,4,4
5,,"Superb, every day good day",5,5,Senior Process Associate (Payroll ) for 2.9 years in Pune,5,24-Aug-18,"Work culture, easy to manage work life balance, facilities and yes important ‘job security’",5,5,Infosys,Nothing,5,5
5,Pune,"Good not hectic , and existing too",5,3,Senior Accounts Executive,5,2-Aug-18,Its very good work culture salary increment rate is very low I am working in good atmosphere and team...,4,4,Infosys,Salary in increment rate is very low,5,5
4,,Sometimes it is boring but sometimes exiciting.,4,3,Test Engineer for 2.9 years in Jaipur,4,29-Jul-18,Learning plateform is good in infosys. Facilities are very good.Work life balance is also good here.,3,3,Infosys,Opportunities are less according to your skills.,4,5
5,,,5,5,Process Executive for 1 year,5,27-Oct-19,,5,5,Infosys,,5,5
4,,,4,4,Technology Analyst for 3.8 years,4,26-Sep-19,,3,3,Infosys,,4,4
1,Hyderabad,,1,1,Senior System Engineer,3,24-May-19,Work timings: ,1,1,Infosys,,1,3
1,Pune,,2,1,Senior Lead Analyst - Management Consulting,1,24-May-19,Policy,1,2,Infosys,Work timings: ,3,3
5,,Normal work and it’s good not boring,4,4,Accountant for 2.5 years in Pune,5,19-Oct-18,"Infosys Learning system, campus and job security",3,2,Infosys,Compensation and benefits,4,5
5,,,5,4,Senior Systems Engineer-Database for 3.6 years in Bhubaneswar,5,15-Sep-18,It's like being a part of one Infosys family.. Hence it's lovely to work here... Moreover so much of opportunities for self development and gaining skills to update oneself,4,4,Infosys,Nothing to dislike. Love to work here,4,5
4,Bangalore,It depends on your project. It may be hectic or normal.,4,2,Systems Engineer,4,10-Mar-18,Job security and opportunity to learn new things.,1,1,Infosys,Neither salary hike nor career growth in Infosys for freshers. Very hectic HR policy. Managers and HR altogether play game for your hike and growth. Managers do partiality on the basis of region/state. Please do not join Infosys unless you have minimum 10 years of experience.,4,4
4,Bengaluru,,1,1,System Engineer,1,21-Aug-21,Domestic Onsite,1,1,Infosys,"Effectively worked for free due to ""BOND"" of 1.5yrs",4,5
4,,,2,1,Senior Process Associate for 4 years,1,30-Sep-19,,1,1,Infosys,,1,4
5,Pune,Very good,5,5,Technical Process Specialist,5,8-Feb-19,Very Happy and Healthy environment,5,5,Infosys,Work days:,5,5
5,Trivandrum,Depends on the project.,5,5,Technology Analyst,5,2-Oct-18,Had a wonderful experience working with Infosys. It was learning and fun blended together. Great campuses with unmatchable infrastructure and good work culture.,4,3,Infosys,Compensation benefits could be improved,5,5
4,,,4,3,Senior Process Executive for 5.5 years,4,5-Sep-18,,3,2,Infosys,,3,5
3,,"Depends on what project you are involve into. For me, first it was excellent as there was a lots of opportunities for learning, career growth.. but ultimately it is stagnant and boring, demotivational also.",3,3,Senior Technical Analyst for 6.5 years in Bhubaneswar,4,1-Apr-18,"Team culture, job security",2,1,Infosys,"Work-life balance, appraisal, politics at upper management level, salary",1,5
3,,Good,3,2,Credit Control Executive for 1.7 years in Pune,4,31-Jan-22,Job Security,3,2,Infosys,"No growth in term of Salary, all incentive and Bonus depends on your bonding with your manager, lots of politics",5,5
5,Chennai,,5,3,Test Analyst,4,30-Apr-19,Great campus and place to work. You will be amazed with campus. Great policies.,2,2,Infosys,It all depends on projects. You will not get much hike irrespective of ratings,3,4
4,,,5,4,Senior System Engineer for 4.5 years in Pune,5,15-Mar-19,"Outstanging policies for Employees, 100 % job Security",4,3,Infosys,Appraisels😣,5,5
4,Electric City,,4,4,System Engineer,4,15-Mar-19,Work days:,4,4,Infosys,,4,4
3,Pune,,4,3,Senior Executive Operations,4,15-Mar-19,Work days:,3,3,Infosys,,3,4
5,HYDERABAD,,4,5,System Engineer,5,13-Mar-19,Everything,4,3,Infosys,Compensation,5,5
4,,Good,4,3,Accountant for 5.6 years in Bangalore,4,13-Mar-19,Over all it is good,3,3,Infosys,Growth will not happen in time,3,4
4,,,4,4,System Engineer for 5.6 years in Hyderabad,4,5-Mar-19,Nothing,4,4,Infosys,Nothing,4,4
4,Bangalore,Good experience,5,4,Process Executive,4,22-Jan-19,Unity,4,4,Infosys,Salary,5,5
4,Bangalore,,2,2,Assistant Accountant,2,16-Aug-18,Job security and career development opportunities.,2,1,Infosys,Compensation and benefits not even equal to a security guard salary.,3,3
4,Mysuru,,4,4,Intern,4,3-Jun-21,I learned java and angular there.,4,4,Infosys,Work days:,4,4
5,,,5,5,Senior Process Executive for 2 year in Bangalore,5,6-Aug-19,,5,5,Infosys,,5,5
5,Hyderabad,,5,4,Technology Analyst,5,19-Mar-19,Very good place to have your career going.,4,4,Infosys,Nothing,5,5
5,,,5,5,Executive Engineer for 2 year in Pune,5,17-Feb-19,Awesome culture n experience,5,5,Infosys,Nothing to dislike,5,5
5,Hyderabad,,5,5,Software Test Analyst,5,14-Feb-19,Excellent place to work,5,5,Infosys,Work days:,5,5
4,Bangalore,,3,2,Technology Analyst,3,1-Jan-19,Infosys campus has good facilities,2,3,Infosys,No choice of project,3,4
5,Bangalore,Awesome,4,4,Technology Analyst,4,6-Dec-18,Overall setisfied,5,3,Infosys,"Nothing as of now... Really awesome platform to learn, or boost your skills",4,4
5,,My work life is good in Infosys. Good to learn new things,5,5,"Build Release Engineer, Devops Engineer for 5.7 years in Pune",5,28-Aug-18,"Job security, good to learning,good Infosys campus.",5,4,Infosys,Not good in salary hike.,5,5
4,,,3,3,Senior Systems Engineer for 1.4 years in Bangalore Rural,4,29-Jun-21,It’s good for freshers,4,4,Infosys,Idc he’s and campus he’s 9.5,4,4
5,,,5,5,Process Specialist Sme for 3.7 years in PUNE,5,16-Apr-19,Campus,5,5,Infosys,Increament,5,5
5,,Good,5,5,Technolgy Analyst for 2.6 years in Bangalore,5,11-Apr-19,Good,5,4,Infosys,Good,5,5
3,,Awesome,4,4,Associate Manager Finance for 2.8 years in Pune,4,2-Jun-20,Great culture and place,4,3,Infosys,Compensation structure is not much attractive,4,4
4,,,5,5,Systems Engineer for 2.1 years in Pune,5,2-Dec-19,Its facilities are super amazing. Also the technologies are latest and work culture is very good.,4,4,Infosys,Nothing. Just the salary hikes should be more and deserving people should get good hike.,4,5
5,Hyderabad,,5,4,Senior Associate Consultant,5,4-Apr-19,Best organization to work with,4,3,Infosys,Compensation is decent but growth is slow,5,5
5,,Exciting and the natural beauty at infosys gardens is awesome,5,3,System Engineer for 2.2 years in Bhubaneswar,4,15-Mar-19,"As a company, Infosys is superb at making you feel home as an employee. Well versed. good knowledge extraction and self development.",4,4,Infosys,"Nothing much, teams could be more interactive.",3,4
3,Jaipur,Hectic,3,3,Subject Matter Expert,4,5-Mar-19,Trainings were there but employees gets very less time to take part in these training due to workload,3,3,Infosys,Too much of workload. Job satisfaction was not there.,1,3
5,Bangalore,,3,2,Senior System Engineer,4,12-Sep-18,"Big brand, lot of learning options and platforms.",3,2,Infosys,"Some biased managers are ruining the entire cultures of the firm. If u are managers favourite, u will rise. Skills and commitment take back seat in such situations.",4,4
3,Hyderabad,"aerobics,yoga, sports, swimming",5,3,Senior System Engineer,5,23-May-18,I love the work culture . My first company is Infosys. Mysore life was awesome. I know no company would provide that which infosys gives during training days...Awesome training days...:),3,2,Infosys,Support jobs for fresher no development opportunity...some projects have regional partiality. I work at Infosys Hyderabd and my TL does partiality among teammates for not being telgu..:(,3,5
5,Hyderabad,,1,1,Technology Analyst,1,9-Jan-19,Opportunities to learn,3,1,Infosys,No Employee value,1,5
4,,,4,4,Technology Analyst for 4.6 years,4,28-Sep-19,,4,3,Infosys,,4,5
4,,,5,4,Associate Consultant for 1 month,5,28-Sep-19,,5,5,Infosys,,5,5
4,,Exciting,4,4,Senior Process Executive for 2.3 years in Delhi,4,1-Mar-19,Working environment,4,4,Infosys,Nothing,4,5
5,,,5,5,Accountant for 2 year in Pune,5,14-Feb-19,Work environment is very good and also growth of learning devlopment,5,5,Infosys,Very good,5,5
2,Pune,Ok,3,3,Oracle Developer,3,21-Jan-19,Infrastructure,3,2,Infosys,Skills development,2,4
3,Pune,"Sometimes hectic, sometimes average.",3,4,Senior Systems Engineer,4,27-Oct-18,"Well organised company, having lots of opportunities.",5,2,Infosys,Less perks.,3,5
3,Hitec City,I am working on mappings.,3,2,Process Executive,5,22-Oct-18,Peace full Environment. Management is good.,2,1,Infosys,I am interested in Finance side that's why am not satisfy with my work . Very less salary,3,5
5,Pune,,5,5,Assistant Accountant,5,19-Aug-20,"Work culture, work environment",5,5,Infosys,Work days:,5,5
5,,,5,5,Infrastructure Management Consultant for 3.4 years in Bangalore,5,20-May-19,Good,4,5,Infosys,Good,5,5
5,,,5,5,Process Associate for 1 year in Bangalore,5,29-Jan-19,Job security,1,1,Infosys,No hike at all,5,5
3,Bangalore,Boring,2,2,Tech Lead,4,29-Aug-18,Work life balance and approachable management,2,1,Infosys,"Low compensation, very slow career growth.",4,3
4,Bangalore,It’s good to work here,4,5,Process Associate,5,27-Aug-18,It’s a great place to start your career and the training provided in Mysore for the employees is awesome and you’ll fall in love with that place,5,4,Infosys,As I said before it’s a great a place to start your career but not that good to stick in that as the growth rate is pretty low.,4,5
5,Bangalore,Boring because of less salary.,4,3,Senior Process Executive,5,16-Apr-18,Here work environment is very good. Infrastructure is very nice. In Infosys we have lot of opportunity to learn more things. training facility are excellent.,3,1,Infosys,Money is important to every one but infosys is a less payee comparing to other company. We are also doing same work but we are taking very less amount it is not possible to maintain our basic economic needs.and also night shift allowance is very less. We are not asking royal facility and all we need only salary for our hard work.,2,5
5,Chennai,"Work is very intersting. Best place to learn new stuff. During the production releases, work load will be high. It would have been nice if they had delegate the work.I had a great learning experience from the company.",3,3,Senior Systems Engineer,3,1-Sep-17,"The company is a great place to learn. You can learn something new everyday.As a fresher, you can definitely choose the company to learn and grow. They provide high security to the employees especially the female employees. Cab services are provided post 8pm to all the employees.I love the campus. The infrastructure is really good with a green environment.",3,2,Infosys,Growth rate is very slow. We cannot expect a promotion until 5 years. It depend on the account you work though.The project hierarchy is improper because the hardwork goes unnoticed by the manager during the appraisal. Getting a good rating is very difficult. The onsite oppurtunities are very less. Employees has to work for an averageof 9.15 hours daily which is hectic and it afftects the work life balance.,2,3
4,Pune,,4,5,Senior Process Executive,4,5-Mar-19,Only focus on salary,5,5,Infosys,Salary,4,5
3,Hyderabad,Good learning,4,3,Lead Consultant-SAP IT/ SAP,4,31-Dec-18,Company policies and flexibility,4,3,Infosys,More work,3,5
5,Bangalore,Amazing,5,5,Assistant Manager,5,2-Dec-18,"Ample opportunity for learning, an amazing place to work and to start ones career",5,2,Infosys,Salary,5,5
2,Bangalore,,2,2,Technology Analyst,1,16-Jul-18,"Training, Infrastructure and food",1,1,Infosys,"Politics, no career growth, work-life balance, appraisal system, Salary, Annual hikes",3,3
3,,,1,1,Front Office Executive for 5.4 years,1,10-May-18,,3,1,Infosys,,1,1
5,Pune,,5,5,Housekeeping Attendant,5,19-Jul-19,Good,5,5,Infosys,,5,5
4,,,4,5,Process Associate for 1.5 years in Hyderabad,4,7-Dec-18,Excellent working environment,4,3,Infosys,Compensation salary hike very low,4,4
4,Pune,My work is good and I have done my work very quickly with 100% accuracy.,4,4,Senior Executive,4,19-Feb-19,The company organisation and culture is very nice.,4,4,Infosys,As if now I think that the company does not have any bad disadvantages.,4,5
2,Pune,,3,2,Senior Associate Consultant,3,14-Feb-19,campus,2,3,Infosys,career growth,4,4
3,Hyderabad,,4,3,Technology Analyst,5,14-Feb-19,worklife balance,3,2,Infosys,compensation,5,5
2,Bangalore,Hectic,3,3,Senior Associate Consultant,4,30-Oct-18,Job security is good,2,1,Infosys,No chance to work on new skills. Hikes are terrible.,2,4
5,,"Work at infosys is exciting apart from the client projects ,there are internal projects going on through out the year which are a very good option to enhnace the skills in other technologies.",4,4,Senior Systems Engineer for 2.5 years in Hyderabad,5,4-Mar-18,"Workin in team is a big plus point where you interact and share your ideas an learn to implement things efectively with grea efficiency.Dealing with client on everyday basis is good .Apart from this,I am lucky to meet people from different cultures and this tests and improves your aility to wok in teams.Work Enviroment and Wok-ife blance are good here.",4,2,Infosys,Salary/appraisal policy is something that needs to be improved.,4,5
1,Banglore,The work is very boring.,3,1,System Engineer,2,6-Sep-18,It's a company that needs dumb people who never question their way of useless working.,1,1,Infosys,The quality of work done is very poor.,3,4
4,Pune,,5,4,Process Specialist,4,23-Apr-19,Work timings: ,4,4,Infosys,,4,5
5,Hyderabad,Exciting,5,5,Technical Lead,5,7-Mar-19,Work culture,5,5,Infosys,Nothing,5,5
4,,,4,4,Senior Process Associate for 6 year in Pune,5,7-Nov-18,Fine,3,4,Infosys,Salary issue/ appraisals are not good,5,5
3,,,3,3,Associate Consultant for 2 months in Pune,5,18-Sep-18,Overall experience is good. The company provides handsome salary alongwith specific stream training for 2 months.,3,4,Infosys,There is nothing that I dislike about Infosys Limited but I have interest in taxation field rather than consulting for Oracle software. Its my choice of not to make my career in this field.,3,5
4,,The job is quite good interesting,4,5,Marketing for 2.6 years in Bangalore,5,23-Aug-21,Work culture and Company policy,4,4,Infosys,Work days:,4,5
5,Pune,Good,4,4,Sap Sd Functional Consultant,3,12-Dec-20,Job Security,4,4,Infosys,Internal politics,3,5
3,,Exciting,3,1,Software Engineer for 6.2 years in Pune,2,22-May-19,Job security,3,3,Infosys,"Politics,travel",4,2
5,,It's a great company to work with,5,5,Senior Business Analyst for 2.5 years,5,26-Apr-19,Surrounding,5,5,Infosys,Facilities,5,5
2,Banglore,Business Analyst,1,1,Consultant,2,19-Aug-18,work life,1,1,Infosys,salary and appraisal is a distant dream.it would be near zero.no innovation.all the facilities are paid like bus parking gym and one additional infosys development tax is deducted from salary,5,5
4,Chennai Sholinganallur,Just based on your project and manager work can vary from very less to hectic and wonderful to very bad.,4,4,Technical Architect,5,14-Aug-18,Campus and people. Provides good learning opportunity.,3,2,Infosys,Recognition and compensation,3,5
5,Bhubaneswar,,4,4,Technology Analyst,4,11-Feb-19,It's a wonderful place to work.,4,3,Infosys,Work days:,4,5
4,,Ji,4,4,Senior System Engineer for 6 years in Bangalore,4,18-Jun-19,Kind of environment it sets will make it worthful,4,3,Infosys,Not all projects are good,4,5
4,Pune,,4,3,Information Security Engineer,4,17-Dec-18,Learning,4,3,Infosys,Salary and appraisal,5,5
4,Thiruvananthapuram,,4,4,Junior System Engineer,4,24-Nov-21,Good for fresher,4,4,Infosys,Work timings: ,4,4
5,,Super,5,5,Junior Software Developer for 5.8 years in Hy,5,9-Mar-19,"Yes,",5,4,Infosys,Work days:,5,5
4,Hyderabad,,4,3,CRM Technical Developer,4,7-Dec-18,The company policies and work life balance.,4,3,Infosys,Competency of people in gathering requirements.,4,5
3,Hyderabad,,4,3,Technology Analyst,4,29-Aug-18,Facilities are good. Work life balance using work from home and other poloicies.,2,2,Infosys,Lot of maintenance project. Internal growth is very slow.,5,5
4,Jaipur,I am to work here. it is a great learning experience for me.,5,5,Senior Process Executive,5,31-Jul-18,"I love Everything in Infosys like teammates, job security, career growth and work environment etc.I am happy that i was the part of Infosys.",4,5,Infosys,salary increament depends on your appraisal which is depends on your TL.,4,5
5,Pune,,5,5,Process Associate,5,1-Jan-19,"It was wonderful to work with Infosys got so many things learn, had good team support and career development programs which helped me to improve my skills.",5,3,Infosys,"Salary ☺️ as I joined as fresher I didn't get the good package of salary even after 2 years were my work was appropriated multiple times but while appraisal they won't notice such thinks may be this was reason there was less hike in my salary, which made me unsatisfied.",4,5
5,Bangalore,Its intresting,5,5,Design Engineer,5,26-Feb-19,Best company,5,3,Infosys,Salary,5,5
4,,Doing automation tool,5,5,Technology Analyst for 1.5 years in Chennai,4,1-Nov-18,"Learn new technology,Infosys learning platform absolutely excellent",4,4,Infosys,Travel,3,3
4,,Being a SSE I am working as a Java Developer and acting lead of my team. Development part is good in my team.,4,4,Senior System Engineer for 2.9 years in Pune,5,12-Apr-18,Variety of projects and onsite opportunity all over the world. High quality training portal for almost all technologies. Relaxed work culture. Work life balance. Facilities and campus.,4,5,Infosys,Salary hike and progression is slow,5,5
5,Bangalore,,4,3,Senior Technical Associate,5,27-Mar-18,"Excellent trainings like YB, DT, GB etc. for free! and gives you everything for your career growth. Just that one has to be proactive to select the one and utilize accordingly. The company truly believes in values for life, the same is followed. Time management, facilities are excellent. But nothing is free at Infosys other than training. Best place to start a career for freshers.",3,2,Infosys,Compensation does not match market standards. Career growth is most likely with procedures and not capability.,3,5
5,Pune,,3,3,Technology Analyst,3,31-Oct-18,Good onsite opportunities if you do good work.,2,2,Infosys,Poor offshore compensation and leave policies.,4,4
5,Bangalore,Work is hectic sometimes but everything is good,1,2,Process Executive,4,6-Oct-18,Secured job less work pressure,2,1,Infosys,I was in salarpuria so did not like the building that is all i would say rest eberything is good. Very good company to start with,3,5
5,,,5,5,Automation Test Engineer,5,30-Jun-20,,5,5,Infosys,,5,5
5,,,5,5,Process Executive for 2.4 years in Bangalore,5,29-Mar-19,Day shift,5,1,Infosys,Night shift,5,5
4,,,4,4,Senior Process Executive for 1.5 years,5,18-Feb-20,,4,4,Infosys,,4,4
5,,,5,4,,5,21-Jan-20,,3,3,Infosys,,5,5
5,,Superb,5,5,Devops Engineer for 7.3 years in Bangalore,5,11-Nov-19,Work culture and employee freedom to learn new technologies,5,5,Infosys,Work days:,5,5
5,Pune,Good,4,3,Senior Associate,4,21-Mar-19,No growth,4,4,Infosys,Work days:,3,5
3,Hyderabad,I do mostly copy paste job.nothing to learn.,3,2,Systems Engineer,4,7-Nov-18,Working environment will be good,3,2,Infosys,No hikes Work pressure Working hours are mandatory,3,5
